0.5883, [[0.9990829935211605, 0.0], [0.38160359317361675, 0.7506243433898729], [0.0, 0.2668036407412361], [0.3974173161344885, 0.27687754478510174], [0.0, 0.2725003281482472], [0.0, 0.21453836237003138], [0.37684625840045766, 0.8794057826405961], [0.40017154805855465, 0.27681040513883554], [0.3731689821135019, 0.985457923950108], [0.37885543209438877, 0.8461806117657212]]
0.5622, [[0.9593109235034074, 0.0], [0.3773186805078619, 0.9091635669213187], [0.9587101817964356, 0.0], [0.37365133833064124, 0.9357403409728537], [0.39782516652861427, 0.27676852996539564], [0.9623330270300989, 0.0], [0.0, 0.2767934023888731], [0.9618555640403249, 0.0], [0.39623212165358834, 0.27669238035573984], [0.9995504522171306, 0.0]]
0.5886, [[0.9986011738227942, 0.0], [0.4006682535453114, 0.27682932510573566], [0.4006682535453114, 0.27682932510573566], [0.3974173161344885, 0.27687754478510174], [0.3770173458458961, 0.8555524781388927], [0.38160359317361675, 0.7506243433898729], [0.37941174223955626, 0.7907525903578048], [0.3731689821135019, 0.985457923950108], [0.3769260072258314, 0.9149539371574087], [0.37885543209438877, 0.8461806117657212]]
0.5867, [[0.9986407069192778, 0.0], [0.0, 0.27215241781875327], [0.3769260072258314, 0.9149539371574087], [0.3949409633355135, 0.27678279195573313], [0.3731689821135019, 0.985457923950108], [0.39782516652861427, 0.27676852996539564], [0.37934496294633674, 0.8414723527989979], [0.39771230400412344, 0.2765846600160484], [0.3974173161344885, 0.27687754478510174], [0.0, 0.2137916737475749]]
0.2001, [[0.0083553589402279, 0.2769518082549023], [0.3976088236943824, 0.276742683394908], [0.4719605432651935, 0.0], [0.011016872506766149, 0.2760638212608034], [0.010154260644765285, 0.27673348218793364], [0.011388021884370497, 0.27597339053645165], [0.47093752935694816, 0.0], [0.1038864492606609, 0.0], [0.00781422590715571, 0.27667148460355406], [0.5233910538468967, 0.0]]
0.5881, [[0.3759301127248841, 0.8584876291596534], [0.3731689821135019, 0.985457923950108], [0.0, 0.9426503077387909], [0.37885543209438877, 0.8461806117657212], [0.9995504522171306, 0.0], [0.37684625840045766, 0.8794057826405961], [0.3767074568116584, 0.8755177893737314], [0.38160359317361675, 0.7506243433898729], [0.001177412761607591, 0.6992144111528316], [0.3992780300773777, 0.27678761607516006]]
0.5885, [[0.3731689821135019, 0.985457923950108], [0.9981054772007643, 0.0], [0.3770173458458961, 0.8555524781388927], [0.38160359317361675, 0.7506243433898729], [0.0, 0.22229628764738069], [0.37885543209438877, 0.8461806117657212], [0.3767074568116584, 0.8755177893737314], [0.4006682535453114, 0.27682932510573566], [0.40017154805855465, 0.27681040513883554], [0.3769260072258314, 0.9149539371574087]]
0.2469, [[0.39533832772491884, 0.2768074324963641], [0.5108842806531434, 0.0], [0.5082241067837423, 0.0], [0.5104867501365699, 0.0], [0.996769258539622, 0.0], [0.532335972909749, 0.0], [0.5223595972395736, 0.0], [0.5154102910187196, 0.0], [0.997821484344393, 0.0], [0.9936684115391183, 0.0]]
0.5906, [[0.0, 1.0], [0.40244507945043734, 0.2766940381985657], [0.3731689821135019, 0.985457923950108], [0.9986407069192778, 0.0], [0.37365133833064124, 0.9357403409728537], [0.38160359317361675, 0.7506243433898729], [0.3773186805078619, 0.9091635669213187], [0.3769260072258314, 0.9149539371574087], [0.37934496294633674, 0.8414723527989979], [0.4014312483624683, 0.276895178638894]]
0.5900, [[0.3770173458458961, 0.8555524781388927], [0.4006682535453114, 0.27682932510573566], [0.9995504522171306, 0.0], [0.0, 0.9985375235875551], [0.37885543209438877, 0.8461806117657212], [0.38160359317361675, 0.7506243433898729], [0.3731689821135019, 0.985457923950108], [0.3769260072258314, 0.9149539371574087], [0.996447346182542, 0.0], [0.3974173161344885, 0.27687754478510174]]
0.5859, [[0.3767074568116584, 0.8755177893737314], [0.4006682535453114, 0.27682932510573566], [0.3976088236943824, 0.276742683394908], [0.3731689821135019, 0.985457923950108], [0.007937574436366961, 0.2766634428108126], [0.9981054772007643, 0.0], [0.9986407069192778, 0.0], [0.5081625956904617, 0.0], [0.9632008188378062, 0.0], [0.12830283530466688, 0.0]]
0.5518, [[0.0, 0.9871169223531451], [0.9939286845375994, 0.0], [0.9995504522171306, 0.0], [1.0, 0.0], [0.0, 0.953613092666926], [0.5332200441131726, 0.0], [0.0, 0.9356477303293202], [0.5318262751054287, 0.0], [0.3773186805078619, 0.9091635669213187], [0.5306360957554445, 0.0]]
